========================================================================================================================
  魔法金属方块清单 - 用于手动校对匹配
  格式: 序号 | MMM注册名 | 元数据 | 中文名
     47  |  minecraft:stained_glass_pane       |     14  |  红色染色玻璃板
     48  |  minecraft:stained_glass_pane       |     15  |  黑色染色玻璃板
     49  |  minecraft:stained_hardened_clay    |      0  |  白色染色粘土
     50  |  minecraft:stained_hardened_clay    |      1  |  橙色染色粘土
     51  |  minecraft:stained_hardened_clay    |      2  |  品红色染色粘土
     52  |  minecraft:stained_hardened_clay    |      3  |  淡蓝色染色粘土
     53  |  minecraft:stained_hardened_clay    |      4  |  黃色染色粘土
     54  |  minecraft:stained_hardened_clay    |      5  |  黄绿色染色粘土
     55  |  minecraft:stained_hardened_clay    |      6  |  粉色染色粘土
     56  |  minecraft:stained_hardened_clay    |      7  |  灰色染色粘土
     57  |  minecraft:stained_hardened_clay    |      8  |  淡灰色染色粘土
     58  |  minecraft:stained_hardened_clay    |      9  |  青色染色粘土
     59  |  minecraft:stained_hardened_clay    |     10  |  紫色染色粘土
     60  |  minecraft:stained_hardened_clay    |     11  |  蓝色染色粘土
     61  |  minecraft:stained_hardened_clay    |     12  |  棕色染色粘土
     62  |  minecraft:stained_hardened_clay    |     13  |  绿色染色粘土
     63  |  minecraft:stained_hardened_clay    |     14  |  红色染色粘土
     64  |  minecraft:stained_hardened_clay    |     15  |  黑色染色粘土
     65  |  manametalmod:glazed_terracotta     |      0  |  白色带釉陶瓦
     66  |  manametalmod:glazed_terracotta_1   |      0  |  橙色带釉陶瓦
     67  |  manametalmod:glazed_terracotta_2   |      0  |  品红带釉陶瓦
     68  |  manametalmod:glazed_terracotta_3   |      0  |  淡蓝带釉陶瓦
     69  |  manametalmod:glazed_terracotta_4   |      0  |  黄色带釉陶瓦
     70  |  manametalmod:glazed_terracotta_5   |      0  |  黄绿带釉陶瓦
     71  |  manametalmod:glazed_terracotta_6   |      0  |  粉红带釉陶瓦
     72  |  manametalmod:glazed_terracotta_7   |      0  |  灰色带釉陶瓦
     73  |  manametalmod:glazed_terracotta_8   |      0  |  淡灰带釉陶瓦
     74  |  manametalmod:glazed_terracotta_9   |      0  |  青色带釉陶瓦
     75  |  manametalmod:glazed_terracotta_10  |      0  |  紫色带釉陶瓦
     76  |  manametalmod:glazed_terracotta_11  |      0  |  蓝色带釉陶瓦
     77  |  manametalmod:glazed_terracotta_12  |      0  |  棕色带釉陶瓦
     78  |  manametalmod:glazed_terracotta_13  |      0  |  绿色带釉陶瓦
     79  |  manametalmod:glazed_terracotta_14  |      0  |  红色带釉陶瓦
     80  |  manametalmod:glazed_terracotta_15  |      0  |  黑色带釉陶瓦
     81  |  manametalmod:concrete_powder       |      0  |  白色混凝土粉末
     82  |  manametalmod:concrete_powder       |      1  |  橙色混凝土粉末
     83  |  manametalmod:concrete_powder       |      2  |  品红混凝土粉末
     84  |  manametalmod:concrete_powder       |      3  |  淡蓝混凝土粉末
     85  |  manametalmod:concrete_powder       |      4  |  黄色混凝土粉末
     86  |  manametalmod:concrete_powder       |      5  |  黄绿混凝土粉末
     87  |  manametalmod:concrete_powder       |      6  |  粉红混凝土粉末
     88  |  manametalmod:concrete_powder       |      7  |  灰色混凝土粉末
     89  |  manametalmod:concrete_powder       |      8  |  淡灰混凝土粉末
     90  |  manametalmod:concrete_powder       |      9  |  青色混凝土粉末
     91  |  manametalmod:concrete_powder       |     10  |  紫色混凝土粉末
     92  |  manametalmod:concrete_powder       |     11  |  蓝色混凝土粉末
     93  |  manametalmod:concrete_powder       |     12  |  棕色混凝土粉末
     94  |  manametalmod:concrete_powder       |     13  |  绿色混凝土粉末
     95  |  manametalmod:concrete_powder       |     14  |  红色混凝土粉末
     96  |  manametalmod:concrete_powder       |     15  |  黑色混凝土粉末
     97  |  minecraft:carpet                   |      0  |  地毯
     98  |  minecraft:carpet                   |      1  |  橙色地毯
     99  |  minecraft:carpet                   |      2  |  品红色地毯
    100  |  minecraft:carpet                   |      3  |  淡蓝色地毯
    101  |  minecraft:carpet                   |      4  |  黄色地毯
    102  |  minecraft:carpet                   |      5  |  黄绿色地毯
    103  |  minecraft:carpet                   |      6  |  粉红色地毯
    104  |  minecraft:carpet                   |      7  |  灰色地毯
    105  |  minecraft:carpet                   |      8  |  淡灰色地毯
    106  |  minecraft:carpet                   |      9  |  青色地毯
    107  |  minecraft:carpet                   |     10  |  紫色地毯
    108  |  minecraft:carpet                   |     11  |  蓝色地毯
    109  |  minecraft:carpet                   |     12  |  棕色地毯
    110  |  minecraft:carpet                   |     13  |  绿色地毯
    111  |  minecraft:carpet                   |     14  |  红色地毯
    112  |  minecraft:carpet                   |     15  |  黑色地毯
    113  |  minecraft:hardened_clay            |      0  |  硬化黏土

  ===== 第二部分: 未匹配的原版方块 (MMM对应留空) =====


  --- 混凝土 ---

    114  |  manametalmod:concrete  |     15  |  黑色混凝土
    115  |  manametalmod:concrete  |     11  |  蓝色混凝土
    116  |  manametalmod:concrete  |     12  |  棕色混凝土
    117  |  manametalmod:concrete  |      9  |  青色混凝土
    118  |  manametalmod:concrete  |      7  |  灰色混凝土
    119  |  manametalmod:concrete  |     13  |  绿色混凝土
    120  |  manametalmod:concrete  |      3  |  淡蓝混凝土
    121  |  manametalmod:concrete  |      8  |  淡灰混凝土
    122  |  manametalmod:concrete  |      5  |  黄绿混凝土
    123  |  manametalmod:concrete  |      2  |  品红混凝土
    124  |  manametalmod:concrete  |      1  |  橙色混凝土
    125  |  manametalmod:concrete  |      6  |  粉红混凝土
    126  |  manametalmod:concrete  |     10  |  紫色混凝土
    127  |  manametalmod:concrete  |     14  |  红色混凝土
    128  |  manametalmod:concrete  |      0  |  白色混凝土
    129  |  manametalmod:concrete  |      4  |  黄色混凝土

  --- 地毯 ---

    130  |  manametalmod:BlockMossplant  |      0  |  苔藓
    131  |                               |         |  

  --- 木板 ---

    132  |  minecraft:planks                       |      4  |  金合欢木板
    133  |                                         |         |  
    134  |  minecraft:planks                       |      2  |  白桦木板
    135  |  manametalmod:wood_plank_vanillasakura  |      0  |  大山樱木板
    136  |  manametalmod:wood_plank_NetherRed      |      0  |  绯红木板
    137  |  minecraft:planks                       |      5  |  深色橡木木板
    138  |  minecraft:planks                       |      3  |  丛林木板
    139  |  manametalmod:wood_plank_redtree        |      0  |  红树木板
    140  |  minecraft:planks                       |      0  |  橡木木板
    141  |                                         |         |  
    142  |  minecraft:planks                       |      1  |  云杉木板
    143  |  manametalmod:wood_plank_NetherBlue     |      0  |  诡异木板

  --- 原木/木头 ---
  
    144  |  minecraft:log2                             |      0  |  金合欢木
    145  |  minecraft:log2                             |      0  |  金合欢木
    146  |  minecraft:log                              |      2  |  白桦木
    147  |  minecraft:log                              |      2  |  白桦木
    148  |  manametalmod:wood_log_vanillasakur         |      0  |  大山樱原木
    149  |  manametalmod:wood_log_vanillasakur         |      0  |  大山樱原木
    150  |  minecraft:log2                             |      1  |  深色橡木
    151  |  minecraft:log2                             |      1  |  深色橡木
    152  |  minecraft:log                              |      3  |  丛林木
    153  |  minecraft:log                              |      3  |  丛林木
    154  |  manametalmod:wood_log_redtree              |      0  |  红树原木
    155  |  manametalmod:wood_log_redtree              |      0  |  红树原木
    156  |  minecraft:log                              |      0  |  橡木
    157  |  minecraft:log                              |      0  |  橡木
    158  |                                             |         |  
    159  |                                             |         |  
    160  |  minecraft:log                              |      1  |  云杉木
    161  |  minecraft:log                              |      1  |  云杉木
    162  |  manametalmod:BlockLogMC2break              |      0  |  剥皮相思原木
    163  |  manametalmod:BlockLogMC1break              |      2  |  剥皮桦木原木
    164  |  manametalmod:wood_log_break_vanillasakura  |      0  |  剥皮大山樱原木
    165  |  manametalmod:BlockLogMC2break              |      1  |  剥皮黑橡原木
    166  |  manametalmod:BlockLogMC1break              |      3  |  剥皮丛林原木
    167  |  manametalmod:wood_log_break_redtree        |      0  |  剥皮红树原木
    168  |  manametalmod:BlockLogMC1break              |      0  |  剥皮橡木原木
    169  |                                             |         |  
    170  |  manametalmod:BlockLogMC1break              |      1  |  剥皮杉木原木

  --- 去皮木头 ---
  
    171  |  manametalmod:BlockLogMC2break              |      0  |  剥皮相思原木
    172  |  manametalmod:BlockLogMC1break              |      2  |  剥皮桦木原木
    173  |  manametalmod:wood_log_break_vanillasakura  |      0  |  剥皮大山樱原木
    174  |  manametalmod:BlockLogMC2break              |      1  |  剥皮黑橡原木
    175  |  manametalmod:BlockLogMC1break              |      3  |  剥皮丛林原木
    176  |  manametalmod:wood_log_break_redtree        |      0  |  剥皮红树原木
    177  |  manametalmod:BlockLogMC1break              |      0  |  剥皮橡木原木
    178  |                                             |         |  
    179  |  manametalmod:BlockLogMC1break              |      1  |  剥皮杉木原木

  --- 树叶 ---
  
    180  |  minecraft:leaves2                      |      0  |  金合欢树叶
    181  |                                         |         |  
    182  |  minecraft:leaves                       |      2  |  白桦树叶
    183  |  manametalmod:wood_leave_vanillasakura  |      0  |  大山樱树叶
    184  |  minecraft:leaves2                      |      1  |  深色橡树树叶
    185  |                                         |         |  
    186  |  minecraft:leaves                       |      3  |  丛林树叶
    187  |  manametalmod:wood_leave_redtree        |      0  |  红树树叶
    188  |  minecraft:leaves                       |      0  |  橡树树叶
    189  |                                         |         |  
    190  |  minecraft:leaves                       |      1  |  云杉树叶

  --- 树苗 ---
  
    191  |  minecraft:sapling                        |      4  |  金合欢树苗
    192  |                                           |         |  
    193  |  minecraft:sapling                        |      2  |  白桦树苗
    194  |  manametalmod:wood_sapling_vanillasakura  |      0  |  大山樱树苗
    195  |  minecraft:sapling                        |      5  |  深色橡树树苗
    196  |  minecraft:sapling                        |      3  |  丛林树苗
    197  |  minecraft:sapling                        |      0  |  橡树树苗
    198  |                                           |         |  
    199  |  minecraft:flower_pot                     |      0  |  花盆
    200  |  minecraft:flower_pot                     |      0  |  花盆
    201  |  minecraft:flower_pot                     |      0  |  花盆
    202  |  minecraft:flower_pot                     |      0  |  花盆
    203  |  minecraft:flower_pot                     |      0  |  花盆
    204  |  minecraft:flower_pot                     |      0  |  花盆
    205  |  minecraft:flower_pot                     |      0  |  花盆
    206  |  minecraft:flower_pot                     |      0  |  花盆
    207  |  minecraft:sapling                        |      0  |  云杉树苗

  --- 栅栏 ---

    208  |  manametalmod:fence_acacia     |      0  |  金合欢木栅栏
    209  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏
    210  |  manametalmod:fence_birch      |      0  |  白桦木栅栏
    211  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏
    212  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏
    213  |  manametalmod:fence_big_oak    |      0  |  深色橡木栅栏
    214  |  manametalmod:fence_jungle     |      0  |  丛林木栅栏
    215  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏
    216  |  minecraft:nether_brick_fence  |      0  |  地狱砖栅栏
    217  |  minecraft:fence               |      0  |  栅栏
    218  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏
    219  |  manametalmod:fence_spruce     |      0  |  云杉木栅栏
    220  |  manametalmod:BlockRenderCores7|      0  |  伪装栅栏

  --- 栅栏门 ---

    221  |  manametalmod:wood_gate_base4  |      0  |  金合欢木栅栏门
    222  |  minecraft:fence_gate          |      0  |  栅栏门
    223  |  manametalmod:wood_gate_base2  |      0  |  桦木栅栏门
    224  |  minecraft:fence_gate          |      0  |  栅栏门
    225  |  minecraft:fence_gate          |      0  |  栅栏门
    226  |  manametalmod:wood_gate_base5  |      0  |  黑橡木栅栏门
    227  |  manametalmod:wood_gate_base3  |      0  |  丛林木栅栏门
    228  |  minecraft:fence_gate          |      0  |  栅栏门
    229  |  minecraft:fence_gate          |      0  |  栅栏门
    230  |  minecraft:fence_gate          |      0  |  栅栏门
    231  |  manametalmod:wood_gate_base1  |      0  |  杉木栅栏门
    232  |  minecraft:fence_gate          |      0  |  栅栏门

  --- 门 ---

    233  |  manametalmod:acaciadoor    |      0  |  金合欢木门
    234  |                             |         |  
    235  |  manametalmod:birchdoor     |      0  |  白桦木门
    236  |                             |         |  
    237  |                             |         |  
    238  |                             |         |  
    239  |  manametalmod:dark_oakdoor  |      0  |  深色橡木门
    240  |                             |         |  
    241  |  minecraft:iron_door        |      0  |  铁门
    242  |  manametalmod:jungledoor    |      0  |  丛林木门
    243  |                             |         |  
    244  |  manametalmod:orkdoordoor   |      0  |  橡木门
    245  |                             |         |  
    246  |                             |         |  
    247  |  manametalmod:sprucedoor    |      0  |  云杉木门
    248  |                             |         |  
    249  |                             |         |  
    250  |                             |         |  
    251  |                             |         |  
    252  |                             |         |  
    253  |                             |         |  

  --- 活板门 ---

    254  |  manametalmod:wood_trapdoor_base4  |      0  |  金合欢木活板门
    255  |                                    |         |  
    256  |  manametalmod:wood_trapdoor_base2  |      0  |  桦木活板门
    257  |                                    |         |  
    258  |                                    |         |  
    259  |                                    |         |  
    260  |  manametalmod:wood_trapdoor_base5  |      0  |  黑橡木活板门
    261  |                                    |         |  
    262  |  manametalmod:BlockTrapDoorIron    |      0  |  铁活板门
    263  |  manametalmod:wood_trapdoor_base3  |      0  |  丛林木活板门
    264  |                                    |         |  
    265  |  manametalmod:trapdoorOak          |      0  |  橡木活板门
    266  |                                    |         |  
    267  |                                    |         |  
    268  |  manametalmod:wood_trapdoor_base1  |      0  |  云杉木活板门
    269  |                                    |         |  
    270  |                                    |         |  
    271  |                                    |         |  
    272  |                                    |         |  
    273  |                                    |         |  
    274  |                                    |         |  

  --- 楼梯 ---
  
    275  |  minecraft:acacia_stairs                 |      0  |  金合欢木楼梯
    276  |  manametalmod:RockBlockNewMinecraft_stairs_5  | 0  |  安山岩阶梯
    277  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    278  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    279  |  minecraft:birch_stairs                  |      0  |  桦木楼梯
    280  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    281  |  minecraft:brick_stairs                  |      0  |  砖楼梯
    282  |  manametalmod:wood_stairs_vanillasakura  |      0  |  大山樱楼梯
    283  |  manametalmod:deepslateblock_stairs_0    |      0  |  深板岩碎石阶梯
    284  |  minecraft:stone_stairs                  |      0  |  石楼梯
    285  |  manametalmod:wood_stairs_NetherRed      |      0  |  绯红木楼梯
    286  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    287  |  minecraft:dark_oak_stairs               |      0  |  深色橡木楼梯
    288  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    289  |  manametalmod:deepslatebrick_stairs_1    |      0  |  深板岩砖阶梯
    290  |  manametalmod:deepslatebrick_stairs_2    |      0  |  深板岩砖瓦阶梯
    291  |  manametalmod:RockBlockNewMinecraft_stairs_3  | 0  |  闪长岩阶梯
    292  |  manametalmod:RockBlockNewMinecraft_stairs_13 | 0  |  终界砖阶梯
    293  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    294  |  manametalmod:RockBlockNewMinecraft_stairs_1  | 0  |  花岗岩阶梯
    295  |  minecraft:jungle_stairs                 |      0  |  丛林木楼梯
    296  |  manametalmod:wood_stairs_redtree        |      0  |  红树阶梯
    297  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    298  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    299  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    300  |  minecraft:nether_brick_stairs           |      0  |  地狱砖楼梯
    301  |  minecraft:oak_stairs                    |      0  |  橡木楼梯
    302  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    303  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    304  |  manametalmod:RockBlockNewMinecraft_stairs_6  | 0  |  平滑安山岩阶梯
    305  |  manametalmod:RockBlockNewMinecraft2__stairs_2| 0  |  黑石砖阶梯
    306  |  manametalmod:RockBlockNewMinecraft2__stairs_1| 0  |  抛光黑石阶梯
    307  |  manametalmod:deepslateblock_stairs_1    |      0  |  抛光深板岩阶梯
    308  |  manametalmod:RockBlockNewMinecraft_stairs_4  | 0  |  平滑闪长岩阶梯
    309  |  manametalmod:RockBlockNewMinecraft_stairs_2  | 0  |  平滑花岗岩阶梯
    310  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    311  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    312  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    313  |  manametalmod:RockBlockNewMinecraft_stairs_7 |  0  |  紫珀砖阶梯
    314  |  minecraft:quartz_stairs                 |      0  |  石英楼梯
    315  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    316  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    317  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    318  |  minecraft:sandstone_stairs              |      0  |  沙石楼梯
    319  |  manametalmod:RockBlockNewMinecraft3__stairs_12|0  |  六面平滑石英阶梯
    320  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    321  |  manametalmod:RockBlockNewMinecraft3_    |      0  |  六面平滑砂岩阶梯
    322  |  minecraft:spruce_stairs                 |      0  |  云杉木楼梯
    323  |  minecraft:stone_brick_stairs            |      0  |  石砖楼梯
    324  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    325  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    326  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    327  |  manametalmod:wood_stairs_NetherBlue     |      0  |  诡异木楼梯
    328  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    329  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    330  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    331  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯
    332  |  manametalmod:BlockRenderCoreStairss     |      0  |  伪装楼梯

  --- 台阶 ---
  
    333  |  minecraft:wooden_slab                 |      4  |  金合欢木台阶
    334  |  manametalmod:RockBlockNewMinecraft_slab_5  | 0  |  安山岩半砖
    335  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    336  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    337  |  minecraft:wooden_slab                 |      2  |  桦木台阶
    338  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    339  |  minecraft:stone_slab                  |      4  |  砖台阶
    340  |  manametalmod:wood_salb_vanillasakura  |      0  |  大山樱半砖
    341  |  manametalmod:deepslateblock_slab_0    |      0  |  深板岩碎石半砖
    342  |  minecraft:stone_slab                  |      3  |  圆石台阶
    343  |  manametalmod:wood_salb_NetherRed      |      0  |  绯红木台阶
    344  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    345  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    346  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    347  |  minecraft:wooden_slab                 |      5  |  深色橡木台阶
    348  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    349  |  manametalmod:deepslatebrick_slab_1    |      0  |  深板岩砖半砖
    350  |  manametalmod:deepslatebrick_slab_2    |      0  |  深板岩砖瓦半砖
    351  |  manametalmod:RockBlockNewMinecraft_slab_3  | 0  |  闪长岩半砖
    352  |  manametalmod:RockBlockNewMinecraft_slab_13 | 0  |  终界砖半砖
    353  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    354  |  manametalmod:RockBlockNewMinecraft_slab_1  | 0  |  花岗岩半砖
    355  |  minecraft:wooden_slab                 |      3  |  丛林台阶
    356  |  manametalmod:wood_salb_redtree        |      0  |  红树台阶
    357  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    358  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    359  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    360  |  minecraft:stone_slab                  |      6  |  地狱砖台阶
    361  |  minecraft:wooden_slab                 |      0  |  橡木台阶
    362  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    363  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    364  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    365  |  manametalmod:RockBlockNewMinecraft_slab_6  | 0  |  平滑安山岩半砖
    366  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    367  |  manametalmod:RockBlockNewMinecraft2__slab_1| 0  |  抛光黑石半砖
    368  |  manametalmod:deepslateblock_slab_1    |      0  |  抛光深板岩半砖
    369  |  manametalmod:RockBlockNewMinecraft_slab_4  | 0  |  平滑闪长岩半砖
    370  |  manametalmod:RockBlockNewMinecraft_slab_2  | 0  |  平滑花岗岩半砖
    371  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    372  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    373  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    374  |  manametalmod:BlueStoneSlabEnder       |      0  |  紫珀台阶
    375  |  minecraft:stone_slab                  |      7  |  石英台阶
    376  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    377  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    378  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    379  |  minecraft:stone_slab                  |      1  |  沙石台阶
    380  |  manametalmod:RockBlockNewMinecraft3__slab_12|0  |  六面平滑石英半砖
    381  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    382  |  manametalmod:RockBlockNewMinecraft3__slab_8| 0  |  六面平滑砂岩半砖
    383  |  minecraft:stone_slab                  |      0  |  石台阶
    384  |  minecraft:wooden_slab                 |      1  |  云杉台阶
    385  |  minecraft:stone_slab                  |      5  |  石砖台阶
    386  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    387  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    388  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    389  |  manametalmod:wood_salb_NetherBlue     |      0  |  诡异木台阶
    390  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    391  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    392  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    393  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖
    394  |  manametalmod:BlockRenderCores3        |      0  |  伪装下半砖

  --- 墙 ---
  
    395  |  manametalmod:BlockWallSub1                |   5 |  安山岩墙
    396  |  manametalmod:BlockWallSub2                |   0 |  黑石墙
    397  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    398  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    399  |  minecraft:cobblestone_wall                |   0 |  圆石墙
    400  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    401  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    402  |  manametalmod:BlockWallSub1                |   3 |  闪长岩墙
    403  |  manametalmod:BlockWallSub1                |  13 |  末地石砖墙
    404  |  manametalmod:BlockWallSub1                |   1 |  花岗岩墙
    405  |  minecraft:cobblestone_wall                |   1 |  苔石墙
    406  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    407  |  manametalmod:BlockWallSubMud              |   1 |  泥砖墙
    408  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    409  |  manametalmod:BlockWallSub2                |   2 |  黑石砖墙
    410  |  manametalmod:BlockWallSub2                |   1 |  磨制黑石墙
    411  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    412  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    413  |  manametalmod:BlockWallSub1                |   8 |  海晶石墙
    414  |  manametalmod:BlockWallSub1                |  11 |  红地狱砖墙
    415  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    416  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    417  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    418  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    419  |  manametalmod:BlockRenderCores6            |   0 |  伪装石墙
    420  |  manametalmod:BlockWallSub1                |  15 |  凝灰岩墙

  --- 石质建筑方块 ---

    421  |  manametalmod:RockBlockNewMinecraft    |      5  |  安山岩
    422  |  minecraft:bedrock                     |      0  |  基岩
    423  |  minecraft:brick_block                 |      0  |  砖块
    424  |                                        |         |  
    425  |                                        |         |  
    426  |  manametalmod:deepslatebrick           |      0  |  浮雕深板岩
