========================================================================================================================
  原版方块清单 - 导入文件转换前的方块信息
  格式: 序号 | 方块状态 | 元数据 | 中文名
     43  |  minecraft:purple_stained_glass_pane                      |  10     |  紫色染色玻璃板
     44  |  minecraft:blue_stained_glass_pane                        |  11     |  蓝色染色玻璃板
     45  |  minecraft:brown_stained_glass_pane                       |  12     |  棕色染色玻璃板
     46  |  minecraft:green_stained_glass_pane                       |  13     |  绿色染色玻璃板
     47  |  minecraft:red_stained_glass_pane                         |  14     |  红色染色玻璃板
     48  |  minecraft:black_stained_glass_pane                       |  15     |  黑色染色玻璃板
     49  |  minecraft:white_terracotta                               |  0      |  白色陶瓦
     50  |  minecraft:orange_terracotta                              |  1      |  橙色陶瓦
     51  |  minecraft:magenta_terracotta                             |  2      |  品红色陶瓦
     52  |  minecraft:light_blue_terracotta                          |  3      |  淡蓝色陶瓦
     53  |  minecraft:yellow_terracotta                              |  4      |  黄色陶瓦
     54  |  minecraft:lime_terracotta                                |  5      |  黄绿色陶瓦
     55  |  minecraft:pink_terracotta                                |  6      |  粉红色陶瓦
     56  |  minecraft:gray_terracotta                                |  7      |  灰色陶瓦
     57  |  minecraft:light_gray_terracotta                          |  8      |  淡灰色陶瓦
     58  |  minecraft:cyan_terracotta                                |  9      |  青色陶瓦
     59  |  minecraft:purple_terracotta                              |  10     |  紫色陶瓦
     60  |  minecraft:blue_terracotta                                |  11     |  蓝色陶瓦
     61  |  minecraft:brown_terracotta                               |  12     |  棕色陶瓦
     62  |  minecraft:green_terracotta                               |  13     |  绿色陶瓦
     63  |  minecraft:red_terracotta                                 |  14     |  红色陶瓦
     64  |  minecraft:black_terracotta                               |  15     |  黑色陶瓦
     65  |  minecraft:white_glazed_terracotta                        |  0      |  白色带釉陶瓦
     66  |  minecraft:orange_glazed_terracotta                       |  1      |  橙色带釉陶瓦
     67  |  minecraft:magenta_glazed_terracotta                      |  2      |  品红色带釉陶瓦
     68  |  minecraft:light_blue_glazed_terracotta                   |  3      |  淡蓝色带釉陶瓦
     69  |  minecraft:yellow_glazed_terracotta                       |  4      |  黄色带釉陶瓦
     70  |  minecraft:lime_glazed_terracotta                         |  5      |  黄绿色带釉陶瓦
     71  |  minecraft:pink_glazed_terracotta                         |  6      |  粉红色带釉陶瓦
     72  |  minecraft:gray_glazed_terracotta                         |  7      |  灰色带釉陶瓦
     73  |  minecraft:light_gray_glazed_terracotta                   |  8      |  淡灰色带釉陶瓦
     74  |  minecraft:cyan_glazed_terracotta                         |  9      |  青色带釉陶瓦
     75  |  minecraft:purple_glazed_terracotta                       |  10     |  紫色带釉陶瓦
     76  |  minecraft:blue_glazed_terracotta                         |  11     |  蓝色带釉陶瓦
     77  |  minecraft:brown_glazed_terracotta                        |  12     |  棕色带釉陶瓦
     78  |  minecraft:green_glazed_terracotta                        |  13     |  绿色带釉陶瓦
     79  |  minecraft:red_glazed_terracotta                          |  14     |  红色带釉陶瓦
     80  |  minecraft:black_glazed_terracotta                        |  15     |  黑色带釉陶瓦
     81  |  minecraft:white_concrete_powder                          |  0      |  白色混凝土粉末
     82  |  minecraft:orange_concrete_powder                         |  1      |  橙色混凝土粉末
     83  |  minecraft:magenta_concrete_powder                        |  2      |  品红色混凝土粉末
     84  |  minecraft:light_blue_concrete_powder                     |  3      |  淡蓝色混凝土粉末
     85  |  minecraft:yellow_concrete_powder                         |  4      |  黄色混凝土粉末
     86  |  minecraft:lime_concrete_powder                           |  5      |  黄绿色混凝土粉末
     87  |  minecraft:pink_concrete_powder                           |  6      |  粉红色混凝土粉末
     88  |  minecraft:gray_concrete_powder                           |  7      |  灰色混凝土粉末
     89  |  minecraft:light_gray_concrete_powder                     |  8      |  淡灰色混凝土粉末
     90  |  minecraft:cyan_concrete_powder                           |  9      |  青色混凝土粉末
     91  |  minecraft:purple_concrete_powder                         |  10     |  紫色混凝土粉末
     92  |  minecraft:blue_concrete_powder                           |  11     |  蓝色混凝土粉末
     93  |  minecraft:brown_concrete_powder                          |  12     |  棕色混凝土粉末
     94  |  minecraft:green_concrete_powder                          |  13     |  绿色混凝土粉末
     95  |  minecraft:red_concrete_powder                            |  14     |  红色混凝土粉末
     96  |  minecraft:black_concrete_powder                          |  15     |  黑色混凝土粉末
     97  |  minecraft:white_carpet                                   |  0      |  白色地毯
     98  |  minecraft:orange_carpet                                  |  1      |  橙色地毯
     99  |  minecraft:magenta_carpet                                 |  2      |  品红色地毯
    100  |  minecraft:light_blue_carpet                              |  3      |  淡蓝色地毯
    101  |  minecraft:yellow_carpet                                  |  4      |  黄色地毯
    102  |  minecraft:lime_carpet                                    |  5      |  黄绿色地毯
    103  |  minecraft:pink_carpet                                    |  6      |  粉红色地毯
    104  |  minecraft:gray_carpet                                    |  7      |  灰色地毯
    105  |  minecraft:light_gray_carpet                              |  8      |  淡灰色地毯
    106  |  minecraft:cyan_carpet                                    |  9      |  青色地毯
    107  |  minecraft:purple_carpet                                  |  10     |  紫色地毯
    108  |  minecraft:blue_carpet                                    |  11     |  蓝色地毯
    109  |  minecraft:brown_carpet                                   |  12     |  棕色地毯
    110  |  minecraft:green_carpet                                   |  13     |  绿色地毯
    111  |  minecraft:red_carpet                                     |  14     |  红色地毯
    112  |  minecraft:black_carpet                                   |  15     |  黑色地毯
    113  |  minecraft:terracotta                                     |  0      |  陶瓦

  ===== 第二部分: 未匹配的原版方块 (按类别排序) =====


  --- 混凝土 ---

    114  |  minecraft:black_concrete                                 |  15     |  黑色混凝土
    115  |  minecraft:blue_concrete                                  |  11     |  蓝色混凝土
    116  |  minecraft:brown_concrete                                 |  12     |  棕色混凝土
    117  |  minecraft:cyan_concrete                                  |  9      |  青色混凝土
    118  |  minecraft:gray_concrete                                  |  7      |  灰色混凝土
    119  |  minecraft:green_concrete                                 |  13     |  绿色混凝土
    120  |  minecraft:light_blue_concrete                            |  3      |  淡蓝色混凝土
    121  |  minecraft:light_gray_concrete                            |  8      |  淡灰色混凝土
    122  |  minecraft:lime_concrete                                  |  5      |  黄绿色混凝土
    123  |  minecraft:magenta_concrete                               |  2      |  品红色混凝土
    124  |  minecraft:orange_concrete                                |  1      |  橙色混凝土
    125  |  minecraft:pink_concrete                                  |  6      |  粉红色混凝土
    126  |  minecraft:purple_concrete                                |  10     |  紫色混凝土
    127  |  minecraft:red_concrete                                   |  14     |  红色混凝土
    128  |  minecraft:white_concrete                                 |  0      |  白色混凝土
    129  |  minecraft:yellow_concrete                                |  4      |  黄色混凝土

  --- 地毯 ---

    130  |  minecraft:moss_carpet                                    |  0      |  覆地苔藓
    131  |  minecraft:pale_moss_carpet                               |  0      |  苍白覆地苔藓

  --- 木板 ---

    132  |  minecraft:acacia_planks                                  |  4      |  金合欢木板
    133  |  minecraft:bamboo_planks                                  |  0      |  竹板
    134  |  minecraft:birch_planks                                   |  2      |  白桦木板
    135  |  minecraft:cherry_planks                                  |  0      |  樱花木板
    136  |  minecraft:crimson_planks                                 |  0      |  绯红木板
    137  |  minecraft:dark_oak_planks                                |  5      |  深色橡木木板
    138  |  minecraft:jungle_planks                                  |  3      |  丛林木板
    139  |  minecraft:mangrove_planks                                |  0      |  红树木板
    140  |  minecraft:oak_planks                                     |  0      |  橡木木板
    141  |  minecraft:pale_oak_planks                                |  0      |  苍白橡木木板
    142  |  minecraft:spruce_planks                                  |  1      |  云杉木板
    143  |  minecraft:warped_planks                                  |  0      |  诡异木板

  --- 原木/木头 ---

    144  |  minecraft:acacia_log                                     |  0      |  金合欢原木
    145  |  minecraft:acacia_wood                                    |  0      |  金合欢木
    146  |  minecraft:birch_log                                      |  2      |  白桦原木
    147  |  minecraft:birch_wood                                     |  0      |  白桦木
    148  |  minecraft:cherry_log                                     |  0      |  樱花原木
    149  |  minecraft:cherry_wood                                    |  0      |  樱花木
    150  |  minecraft:dark_oak_log                                   |  1      |  深色橡木原木
    151  |  minecraft:dark_oak_wood                                  |  0      |  深色橡木
    152  |  minecraft:jungle_log                                     |  3      |  丛林原木
    153  |  minecraft:jungle_wood                                    |  0      |  丛林木
    154  |  minecraft:mangrove_log                                   |  0      |  红树原木
    155  |  minecraft:mangrove_wood                                  |  0      |  红树木
    156  |  minecraft:oak_log                                        |  0      |  橡木原木
    157  |  minecraft:oak_wood                                       |  0      |  橡木
    158  |  minecraft:pale_oak_log                                   |  0      |  苍白橡木原木
    159  |  minecraft:pale_oak_wood                                  |  0      |  苍白橡木
    160  |  minecraft:spruce_log                                     |  1      |  云杉原木
    161  |  minecraft:spruce_wood                                    |  0      |  云杉木
    162  |  minecraft:stripped_acacia_log                            |  0      |  去皮金合欢原木
    163  |  minecraft:stripped_birch_log                             |  2      |  去皮白桦原木
    164  |  minecraft:stripped_cherry_log                            |  0      |  去皮樱花原木
    165  |  minecraft:stripped_dark_oak_log                          |  1      |  去皮深色橡木原木
    166  |  minecraft:stripped_jungle_log                            |  3      |  去皮丛林原木
    167  |  minecraft:stripped_mangrove_log                          |  0      |  去皮红树原木
    168  |  minecraft:stripped_oak_log                               |  0      |  去皮橡木原木
    169  |  minecraft:stripped_pale_oak_log                          |  0      |  去皮苍白橡木原木
    170  |  minecraft:stripped_spruce_log                            |  1      |  去皮云杉原木

  --- 去皮木头 ---

    171  |  minecraft:stripped_acacia_wood                           |  0      |  去皮金合欢木
    172  |  minecraft:stripped_birch_wood                            |  0      |  去皮白桦木
    173  |  minecraft:stripped_cherry_wood                           |  0      |  去皮樱花木
    174  |  minecraft:stripped_dark_oak_wood                         |  0      |  去皮深色橡木
    175  |  minecraft:stripped_jungle_wood                           |  0      |  去皮丛林木
    176  |  minecraft:stripped_mangrove_wood                         |  0      |  去皮红树木
    177  |  minecraft:stripped_oak_wood                              |  0      |  去皮橡木
    178  |  minecraft:stripped_pale_oak_wood                         |  0      |  去皮苍白橡木
    179  |  minecraft:stripped_spruce_wood                           |  0      |  去皮云杉木

  --- 树叶 ---

    180  |  minecraft:acacia_leaves                                  |  0      |  金合欢树叶
    181  |  minecraft:azalea_leaves                                  |  0      |  杜鹃树叶
    182  |  minecraft:birch_leaves                                   |  2      |  白桦树叶
    183  |  minecraft:cherry_leaves                                  |  0      |  樱花树叶
    184  |  minecraft:dark_oak_leaves                                |  1      |  深色橡树树叶
    185  |  minecraft:flowering_azalea_leaves                        |  0      |  盛开的杜鹃树叶
    186  |  minecraft:jungle_leaves                                  |  3      |  丛林树叶
    187  |  minecraft:mangrove_leaves                                |  0      |  红树树叶
    188  |  minecraft:oak_leaves                                     |  0      |  橡树树叶
    189  |  minecraft:pale_oak_leaves                                |  0      |  苍白橡树树叶
    190  |  minecraft:spruce_leaves                                  |  1      |  云杉树叶

  --- 树苗 ---

    191  |  minecraft:acacia_sapling                                 |  4      |  金合欢树苗
    192  |  minecraft:bamboo_sapling                                 |  0      |  竹笋
    193  |  minecraft:birch_sapling                                  |  2      |  白桦树苗
    194  |  minecraft:cherry_sapling                                 |  0      |  樱花树苗
    195  |  minecraft:dark_oak_sapling                               |  5      |  深色橡树树苗
    196  |  minecraft:jungle_sapling                                 |  3      |  丛林树苗
    197  |  minecraft:oak_sapling                                    |  0      |  橡树树苗
    198  |  minecraft:pale_oak_sapling                               |  0      |  苍白橡树树苗
    199  |  minecraft:potted_acacia_sapling                          |  0      |  金合欢树苗盆栽
    200  |  minecraft:potted_birch_sapling                           |  0      |  白桦树苗盆栽
    201  |  minecraft:potted_cherry_sapling                          |  0      |  樱花树苗盆栽
    202  |  minecraft:potted_dark_oak_sapling                        |  0      |  深色橡树树苗盆栽
    203  |  minecraft:potted_jungle_sapling                          |  0      |  丛林树苗盆栽
    204  |  minecraft:potted_oak_sapling                             |  0      |  橡树树苗盆栽
    205  |  minecraft:potted_pale_oak_sapling                        |  0      |  苍白橡树树苗盆栽
    206  |  minecraft:potted_spruce_sapling                          |  0      |  云杉树苗盆栽
    207  |  minecraft:spruce_sapling                                 |  1      |  云杉树苗

  --- 栅栏 ---

    208  |  minecraft:acacia_fence                                   |  0      |  金合欢木栅栏
    209  |  minecraft:bamboo_fence                                   |  0      |  竹栅栏
    210  |  minecraft:birch_fence                                    |  0      |  白桦木栅栏
    211  |  minecraft:cherry_fence                                   |  0      |  樱花木栅栏
    212  |  minecraft:crimson_fence                                  |  0      |  绯红木栅栏
    213  |  minecraft:dark_oak_fence                                 |  0      |  深色橡木栅栏
    214  |  minecraft:jungle_fence                                   |  0      |  丛林木栅栏
    215  |  minecraft:mangrove_fence                                 |  0      |  红树木栅栏
    216  |  minecraft:nether_brick_fence                             |  0      |  下界砖栅栏
    217  |  minecraft:oak_fence                                      |  0      |  橡木栅栏
    218  |  minecraft:pale_oak_fence                                 |  0      |  苍白橡木栅栏
    219  |  minecraft:spruce_fence                                   |  0      |  云杉木栅栏
    220  |  minecraft:warped_fence                                   |  0      |  诡异木栅栏

  --- 栅栏门 ---

    221  |  minecraft:acacia_fence_gate                              |  0      |  金合欢木栅栏门
    222  |  minecraft:bamboo_fence_gate                              |  0      |  竹栅栏门
    223  |  minecraft:birch_fence_gate                               |  0      |  白桦木栅栏门
    224  |  minecraft:cherry_fence_gate                              |  0      |  樱花木栅栏门
    225  |  minecraft:crimson_fence_gate                             |  0      |  绯红木栅栏门
    226  |  minecraft:dark_oak_fence_gate                            |  0      |  深色橡木栅栏门
    227  |  minecraft:jungle_fence_gate                              |  0      |  丛林木栅栏门
    228  |  minecraft:mangrove_fence_gate                            |  0      |  红树木栅栏门
    229  |  minecraft:oak_fence_gate                                 |  0      |  橡木栅栏门
    230  |  minecraft:pale_oak_fence_gate                            |  0      |  苍白橡木栅栏门
    231  |  minecraft:spruce_fence_gate                              |  0      |  云杉木栅栏门
    232  |  minecraft:warped_fence_gate                              |  0      |  诡异木栅栏门

  --- 门 ---

    233  |  minecraft:acacia_door                                    |  0      |  金合欢木门
    234  |  minecraft:bamboo_door                                    |  0      |  竹门
    235  |  minecraft:birch_door                                     |  0      |  白桦木门
    236  |  minecraft:cherry_door                                    |  0      |  樱花木门
    237  |  minecraft:copper_door                                    |  0      |  铜门
    238  |  minecraft:crimson_door                                   |  0      |  绯红木门
    239  |  minecraft:dark_oak_door                                  |  0      |  深色橡木门
    240  |  minecraft:exposed_copper_door                            |  0      |  斑驳的铜门
    241  |  minecraft:iron_door                                      |  0      |  铁门
    242  |  minecraft:jungle_door                                    |  0      |  丛林木门
    243  |  minecraft:mangrove_door                                  |  0      |  红树木门
    244  |  minecraft:oak_door                                       |  0      |  橡木门
    245  |  minecraft:oxidized_copper_door                           |  0      |  氧化的铜门
    246  |  minecraft:pale_oak_door                                  |  0      |  苍白橡木门
    247  |  minecraft:spruce_door                                    |  0      |  云杉木门
    248  |  minecraft:warped_door                                    |  0      |  诡异木门
    249  |  minecraft:waxed_copper_door                              |  0      |  涂蜡的铜门
    250  |  minecraft:waxed_exposed_copper_door                      |  0      |  涂蜡的斑驳铜门
    251  |  minecraft:waxed_oxidized_copper_door                     |  0      |  涂蜡的氧化铜门
    252  |  minecraft:waxed_weathered_copper_door                    |  0      |  涂蜡的锈蚀铜门
    253  |  minecraft:weathered_copper_door                          |  0      |  锈蚀的铜门

  --- 活板门 ---

    254  |  minecraft:acacia_trapdoor                                |  0      |  金合欢木活板门
    255  |  minecraft:bamboo_trapdoor                                |  0      |  竹活板门
    256  |  minecraft:birch_trapdoor                                 |  0      |  白桦木活板门
    257  |  minecraft:cherry_trapdoor                                |  0      |  樱花木活板门
    258  |  minecraft:copper_trapdoor                                |  0      |  铜活板门
    259  |  minecraft:crimson_trapdoor                               |  0      |  绯红木活板门
    260  |  minecraft:dark_oak_trapdoor                              |  0      |  深色橡木活板门
    261  |  minecraft:exposed_copper_trapdoor                        |  0      |  斑驳的铜活板门
    262  |  minecraft:iron_trapdoor                                  |  0      |  铁活板门
    263  |  minecraft:jungle_trapdoor                                |  0      |  丛林木活板门
    264  |  minecraft:mangrove_trapdoor                              |  0      |  红树木活板门
    265  |  minecraft:oak_trapdoor                                   |  0      |  橡木活板门
    266  |  minecraft:oxidized_copper_trapdoor                       |  0      |  氧化的铜活板门
    267  |  minecraft:pale_oak_trapdoor                              |  0      |  苍白橡木活板门
    268  |  minecraft:spruce_trapdoor                                |  0      |  云杉木活板门
    269  |  minecraft:warped_trapdoor                                |  0      |  诡异木活板门
    270  |  minecraft:waxed_copper_trapdoor                          |  0      |  涂蜡的铜活板门
    271  |  minecraft:waxed_exposed_copper_trapdoor                  |  0      |  涂蜡的斑驳铜活板门
    272  |  minecraft:waxed_oxidized_copper_trapdoor                 |  0      |  涂蜡的氧化铜活板门
    273  |  minecraft:waxed_weathered_copper_trapdoor                |  0      |  涂蜡的锈蚀铜活板门
    274  |  minecraft:weathered_copper_trapdoor                      |  0      |  锈蚀的铜活板门

  --- 楼梯 ---

    275  |  minecraft:acacia_stairs                                  |  0      |  金合欢木楼梯
    276  |  minecraft:andesite_stairs                                |  0      |  安山岩楼梯
    277  |  minecraft:bamboo_mosaic_stairs                           |  0      |  竹马赛克楼梯
    278  |  minecraft:bamboo_stairs                                  |  0      |  竹楼梯
    279  |  minecraft:birch_stairs                                   |  0      |  白桦木楼梯
    280  |  minecraft:blackstone_stairs                              |  0      |  黑石楼梯
    281  |  minecraft:brick_stairs                                   |  0      |  红砖楼梯
    282  |  minecraft:cherry_stairs                                  |  0      |  樱花木楼梯
    283  |  minecraft:cobbled_deepslate_stairs                       |  0      |  深板岩圆石楼梯
    284  |  minecraft:cobblestone_stairs                             |  0      |  圆石楼梯
    285  |  minecraft:crimson_stairs                                 |  0      |  绯红木楼梯
    286  |  minecraft:cut_copper_stairs                              |  0      |  切制铜楼梯
    287  |  minecraft:dark_oak_stairs                                |  0      |  深色橡木楼梯
    288  |  minecraft:dark_prismarine_stairs                         |  0      |  暗海晶石楼梯
    289  |  minecraft:deepslate_brick_stairs                         |  0      |  深板岩砖楼梯
    290  |  minecraft:deepslate_tile_stairs                          |  0      |  深板岩瓦楼梯
    291  |  minecraft:diorite_stairs                                 |  0      |  闪长岩楼梯
    292  |  minecraft:end_stone_brick_stairs                         |  0      |  末地石砖楼梯
    293  |  minecraft:exposed_cut_copper_stairs                      |  0      |  斑驳的切制铜楼梯
    294  |  minecraft:granite_stairs                                 |  0      |  花岗岩楼梯
    295  |  minecraft:jungle_stairs                                  |  0      |  丛林木楼梯
    296  |  minecraft:mangrove_stairs                                |  0      |  红树木楼梯
    297  |  minecraft:mossy_cobblestone_stairs                       |  0      |  苔石楼梯
    298  |  minecraft:mossy_stone_brick_stairs                       |  0      |  苔石砖楼梯
    299  |  minecraft:mud_brick_stairs                               |  0      |  泥砖楼梯
    300  |  minecraft:nether_brick_stairs                            |  0      |  下界砖楼梯
    301  |  minecraft:oak_stairs                                     |  0      |  橡木楼梯
    302  |  minecraft:oxidized_cut_copper_stairs                     |  0      |  氧化的切制铜楼梯
    303  |  minecraft:pale_oak_stairs                                |  0      |  苍白橡木楼梯
    304  |  minecraft:polished_andesite_stairs                       |  0      |  磨制安山岩楼梯
    305  |  minecraft:polished_blackstone_brick_stairs               |  0      |  磨制黑石砖楼梯
    306  |  minecraft:polished_blackstone_stairs                     |  0      |  磨制黑石楼梯
    307  |  minecraft:polished_deepslate_stairs                      |  0      |  磨制深板岩楼梯
    308  |  minecraft:polished_diorite_stairs                        |  0      |  磨制闪长岩楼梯
    309  |  minecraft:polished_granite_stairs                        |  0      |  磨制花岗岩楼梯
    310  |  minecraft:polished_tuff_stairs                           |  0      |  磨制凝灰岩楼梯
    311  |  minecraft:prismarine_brick_stairs                        |  0      |  海晶石砖楼梯
    312  |  minecraft:prismarine_stairs                              |  0      |  海晶石楼梯
    313  |  minecraft:purpur_stairs                                  |  0      |  紫珀楼梯
    314  |  minecraft:quartz_stairs                                  |  0      |  石英楼梯
    315  |  minecraft:red_nether_brick_stairs                        |  0      |  红色下界砖楼梯
    316  |  minecraft:red_sandstone_stairs                           |  0      |  红砂岩楼梯
    317  |  minecraft:resin_brick_stairs                             |  0      |  树脂砖楼梯
    318  |  minecraft:sandstone_stairs                               |  0      |  砂岩楼梯
    319  |  minecraft:smooth_quartz_stairs                           |  0      |  平滑石英楼梯
    320  |  minecraft:smooth_red_sandstone_stairs                    |  0      |  平滑红砂岩楼梯
    321  |  minecraft:smooth_sandstone_stairs                        |  0      |  平滑砂岩楼梯
    322  |  minecraft:spruce_stairs                                  |  0      |  云杉木楼梯
    323  |  minecraft:stone_brick_stairs                             |  0      |  石砖楼梯
    324  |  minecraft:stone_stairs                                   |  0      |  石头楼梯
    325  |  minecraft:tuff_brick_stairs                              |  0      |  凝灰岩砖楼梯
    326  |  minecraft:tuff_stairs                                    |  0      |  凝灰岩楼梯
    327  |  minecraft:warped_stairs                                  |  0      |  诡异木楼梯
    328  |  minecraft:waxed_cut_copper_stairs                        |  0      |  涂蜡的切制铜楼梯
    329  |  minecraft:waxed_exposed_cut_copper_stairs                |  0      |  涂蜡的斑驳切制铜楼梯
    330  |  minecraft:waxed_oxidized_cut_copper_stairs               |  0      |  涂蜡的氧化切制铜楼梯
    331  |  minecraft:waxed_weathered_cut_copper_stairs              |  0      |  涂蜡的锈蚀切制铜楼梯
    332  |  minecraft:weathered_cut_copper_stairs                    |  0      |  锈蚀的切制铜楼梯

  --- 台阶 ---

    333  |  minecraft:acacia_slab                                    |  0      |  金合欢木台阶
    334  |  minecraft:andesite_slab                                  |  0      |  安山岩台阶
    335  |  minecraft:bamboo_mosaic_slab                             |  0      |  竹马赛克台阶
    336  |  minecraft:bamboo_slab                                    |  0      |  竹台阶
    337  |  minecraft:birch_slab                                     |  0      |  白桦木台阶
    338  |  minecraft:blackstone_slab                                |  0      |  黑石台阶
    339  |  minecraft:brick_slab                                     |  0      |  红砖台阶
    340  |  minecraft:cherry_slab                                    |  0      |  樱花木台阶
    341  |  minecraft:cobbled_deepslate_slab                         |  0      |  深板岩圆石台阶
    342  |  minecraft:cobblestone_slab                               |  0      |  圆石台阶
    343  |  minecraft:crimson_slab                                   |  0      |  绯红木台阶
    344  |  minecraft:cut_copper_slab                                |  0      |  切制铜台阶
    345  |  minecraft:cut_red_sandstone_slab                         |  0      |  切制红砂岩台阶
    346  |  minecraft:cut_sandstone_slab                             |  0      |  切制砂岩台阶
    347  |  minecraft:dark_oak_slab                                  |  0      |  深色橡木台阶
    348  |  minecraft:dark_prismarine_slab                           |  0      |  暗海晶石台阶
    349  |  minecraft:deepslate_brick_slab                           |  0      |  深板岩砖台阶
    350  |  minecraft:deepslate_tile_slab                            |  0      |  深板岩瓦台阶
    351  |  minecraft:diorite_slab                                   |  0      |  闪长岩台阶
    352  |  minecraft:end_stone_brick_slab                           |  0      |  末地石砖台阶
    353  |  minecraft:exposed_cut_copper_slab                        |  0      |  斑驳的切制铜台阶
    354  |  minecraft:granite_slab                                   |  0      |  花岗岩台阶
    355  |  minecraft:jungle_slab                                    |  0      |  丛林木台阶
    356  |  minecraft:mangrove_slab                                  |  0      |  红树木台阶
    357  |  minecraft:mossy_cobblestone_slab                         |  0      |  苔石台阶
    358  |  minecraft:mossy_stone_brick_slab                         |  0      |  苔石砖台阶
    359  |  minecraft:mud_brick_slab                                 |  0      |  泥砖台阶
    360  |  minecraft:nether_brick_slab                              |  0      |  下界砖台阶
    361  |  minecraft:oak_slab                                       |  0      |  橡木台阶
    362  |  minecraft:oxidized_cut_copper_slab                       |  0      |  氧化的切制铜台阶
    363  |  minecraft:pale_oak_slab                                  |  0      |  苍白橡木台阶
    364  |  minecraft:petrified_oak_slab                             |  0      |  石化橡木台阶
    365  |  minecraft:polished_andesite_slab                         |  0      |  磨制安山岩台阶
    366  |  minecraft:polished_blackstone_brick_slab                 |  0      |  磨制黑石砖台阶
    367  |  minecraft:polished_blackstone_slab                       |  0      |  磨制黑石台阶
    368  |  minecraft:polished_deepslate_slab                        |  0      |  磨制深板岩台阶
    369  |  minecraft:polished_diorite_slab                          |  0      |  磨制闪长岩台阶
    370  |  minecraft:polished_granite_slab                          |  0      |  磨制花岗岩台阶
    371  |  minecraft:polished_tuff_slab                             |  0      |  磨制凝灰岩台阶
    372  |  minecraft:prismarine_brick_slab                          |  0      |  海晶石砖台阶
    373  |  minecraft:prismarine_slab                                |  0      |  海晶石台阶
    374  |  minecraft:purpur_slab                                    |  0      |  紫珀台阶
    375  |  minecraft:quartz_slab                                    |  0      |  石英台阶
    376  |  minecraft:red_nether_brick_slab                          |  0      |  红色下界砖台阶
    377  |  minecraft:red_sandstone_slab                             |  0      |  红砂岩台阶
    378  |  minecraft:resin_brick_slab                               |  0      |  树脂砖台阶
